,aveMean,aveSal,coordinates,image,label,maxMean,maxSal,medDepth,medMean,medSal,minMean,minSal,obj_size,stdMean,stdSal,occluded
1482,2.925690386,0.023345114,"[[1012.6, 0.0], [992.29, 27.53], [981.74, 47.03], [951.68, 54.34], [923.26, 50.28], [877.77, 69.77], [873.71, 84.39], [890.77, 96.57], [922.44, 96.57], [974.43, 117.69], [999.6, 133.94], [1024.0, 137.18], [1024.0, 0.0], [1012.6, 0.0]]",target_mountain,cloud,4.289041645,0.080403681,0.46666667,2.925690386,0.023345114,2,0.002022654,0.012771606,0.490066366,0.017237753,0
1483,3.363603688,0.41004659,"[[239.8, 539.29], [234.71, 524.8], [240.58, 464.08], [254.68, 461.73], [287.98, 460.56], [326.36, 463.69], [342.42, 485.63], [349.08, 497.77], [351.82, 506.39], [351.82, 520.88], [356.52, 544.38], [239.8, 539.29]]",target_mountain,tree,4.261138933,0.638238416,0.050980393,3.363603688,0.41004659,2.602191675,0.256526985,0.011287689,0.38212629,0.10078431,0
1484,3.067192153,0.143501123,"[[1023.96, 768.0], [0.0, 768.0], [0.0, 614.57], [491.61, 609.48], [502.76, 606.81], [502.76, 584.98], [737.53, 588.13], [738.26, 606.56], [829.93, 609.23], [944.41, 613.11], [1024.0, 613.11], [1023.96, 768.0]]",target_mountain,river,4.833153292,0.920842599,0.40392157,3.067192153,0.143501123,1.615535329,0,0.211877187,0.65066179,0.176579397,1
1485,3.907524219,0.402409345,"[[1024.0, 193.31], [984.15, 198.05], [890.74, 217.0], [816.29, 285.36], [790.9, 331.59], [753.07, 379.51], [727.62, 460.26], [671.1, 520.7], [635.63, 551.5], [598.41, 586.02], [785.89, 588.73], [1024.0, 589.54], [1024.0, 193.31]]",target_mountain,mountain,4.8337433,0.984369018,0.5921569,3.907524219,0.402409345,3.027707583,0.031223811,0.133506775,0.352231298,0.264720323,1
1486,3.452035894,0.452290652,"[[0.0, 171.99], [96.59, 166.57], [167.66, 159.81], [224.51, 155.74], [229.93, 158.45], [249.56, 156.42], [275.28, 136.79], [321.98, 103.63], [373.42, 102.95], [419.45, 117.84], [496.61, 170.63], [573.02, 228.64], [585.48, 236.49], [617.63, 251.18], [623.25, 259.1], [629.47, 279.95], [658.78, 284.48], [680.24, 299.71], [706.16, 314.33], [718.48, 349.32], [742.71, 351.02], [775.47, 343.1], [787.86, 352.17], [808.16, 369.63], [845.39, 440.16], [887.36, 573.97], [623.38, 584.12], [261.94, 582.77], [0.0, 580.47], [0.0, 171.99]]",target_mountain,mountain,4.830467736,1,0.36862746,3.452035894,0.452290652,1.392539885,0.009996962,0.409315745,0.692820233,0.21447282,1
1487,3.906039706,0.459760267,"[[803.37, 280.26], [832.42, 245.99], [838.92, 246.64], [853.31, 257.41], [868.65, 277.32], [900.32, 253.17], [920.36, 309.21], [935.37, 326.51], [953.33, 349.04], [959.53, 394.08], [963.45, 404.2], [985.19, 444.41], [1000.82, 445.13], [1022.95, 452.38], [1024.0, 562.25], [983.49, 559.74], [984.17, 576.97], [922.74, 579.45], [918.43, 595.15], [906.42, 601.75], [898.03, 602.4], [895.32, 601.52], [889.41, 583.14], [833.89, 583.6], [831.84, 595.38], [825.83, 608.4], [816.95, 609.51], [805.43, 603.28], [792.57, 596.69], [785.39, 581.18], [737.24, 579.68], [735.51, 588.0], [729.67, 596.88], [724.18, 600.08], [714.36, 602.72], [705.87, 591.76], [711.16, 561.17], [720.59, 536.79], [743.15, 509.86], [753.23, 502.91], [763.35, 502.52], [766.88, 504.21], [781.24, 516.58], [787.61, 520.89], [792.37, 514.07], [788.75, 502.29], [780.78, 495.5], [773.08, 462.4], [773.7, 445.59], [777.72, 404.4], [785.22, 357.07], [785.8, 335.6], [795.08, 301.22], [803.37, 280.26]]",target_mountain,trees,4.745754379,0.969096349,0.5882353,3.906039706,0.459760267,3.027707583,0.034426101,0.086697896,0.321875455,0.239078528,0
1488,3.958624395,0.398600655,"[[738.08, 606.86], [807.8, 608.03], [944.5, 612.73], [1024.0, 613.52], [1024.0, 560.13], [984.1, 559.93], [984.1, 576.7], [890.72, 576.03], [747.52, 577.13], [737.76, 576.89], [738.08, 606.86]]",target_mountain,wall,4.618137388,0.984388868,0.4392157,3.958624395,0.398600655,3.320566009,0.028674548,0.013478597,0.267085019,0.324354042,1
1489,2.744983333,0.215249029,"[[0.0, 614.4], [173.17, 612.85], [381.67, 611.75], [493.62, 608.82], [502.43, 605.88], [502.43, 550.73], [200.9, 539.13], [15.67, 535.57], [0.0, 535.1], [0.0, 614.4]]",target_mountain,wall,3.650201792,0.620140769,0.011764706,2.744983333,0.215249029,2.149306101,0.008589119,0.045427958,0.317606598,0.128469468,0
1490,4.967596857,0.574196865,"[[474.97, 417.29], [496.62, 399.87], [541.41, 399.38], [590.18, 398.13], [620.29, 415.8], [620.79, 455.61], [539.67, 455.61], [475.72, 456.36], [474.97, 417.29]]",target_field,building,5.297004949,0.685783468,0.16862746,4.967596857,0.574196865,4.205866257,0.428476144,0.010144552,0.233100508,0.065595147,1
1491,4.864354598,0.567569052,"[[549.93, 453.53], [551.1, 352.34], [559.53, 336.86], [564.92, 322.96], [567.42, 322.85], [568.32, 330.47], [574.63, 341.16], [582.13, 351.06], [581.83, 376.36], [580.77, 452.93], [549.93, 453.53]]",target_field,building,5.20950769,0.685783468,0.18039216,4.864354598,0.567569052,4.209696132,0.344693077,0.004681905,0.231016681,0.08606444,1
